ID Cliente,Zona,País,Tipo de producto,Canal de venta,Prioridad,Fecha pedido,ID Pedido,Fecha envío,Unidades,Precio Unitario,Coste unitario,Importe venta total,Importe Coste total,Estado del pedido,Método de pago,Descuento aplicado,Número de seguimiento,Hora del pedido,Tipo de envío
C3212,Norteamérica,Greenland,MINI HERE,Online,Alta,7/15/2022,321273982,8/30/2022,966,437.2,263.33,422335.2,254376.78,Entregado,Tarjeta de crédito,5%,OP123456987QR,7:00,Envío terrestre
C8904,África,Angola,MINI HERE,Online,Crítica,5/13/2020,890496671,6/5/2020,6609,152.58,97.44,1008401.22,643980.96,Enviado,PayPal,10%,ST789654321UV,18:25,Envío aéreo
C5218,África,Zambia,MINI HERE,Offline,Crítica,5/6/2021,521885192,5/22/2021,6281,47.45,31.79,298033.45,199672.99,Procesando,Transferencia bancaria,15%,WX123987654YZ,23:59,Envío rápido
C4358,África,Kenya,MINI HERE,Offline,Alta,11/7/2020,435800874,12/25/2020,2018,154.06,90.93,310893.08,183496.74,Pendiente,Tarjeta de débito,20%,AB654321987CD,11:11,Envío internacional
C1229,África,Azerbaijan,MINI HERE,Offline,Crítica,10/20/2021,122917544,11/17/2021,2888,9.33,6.92,26945.04,19984.96,Entregado,Efectivo,25%,EF987321456GH,5:45,Envío urgente
C4942,África,Mozambique,MINI HERE,Offline,Crítica,10/21/2021,494221532,11/18/2021,9989,81.73,56.67,816400.97,566076.63,Devuelto,Tarjeta de crédito,30%,IJ456789123KL,16:35,Envío rápido
C7310,Australia y Oceanía,Federated States of Micronesia,MINI HERE,Offline,Crítica,4/19/2020,731011664,4/30/2020,1451,437.2,263.33,634377.2,382091.83,Cancelado,PayPal,35%,MN123654789OP,2:22,Envío urgente
C5348,Centroamérica y Caribe,Dominican Republic,MINI HERE,Offline,Crítica,11/3/2022,534899270,11/4/2022,7436,152.58,97.44,1134584.88,724563.84,Pendiente,Transferencia bancaria,40%,QR987123456ST,21:50,Envío terrestre
C5778,África,Libya,MINI HERE,Online,Alta,7/10/2022,577808177,7/22/2022,5135,651.21,524.96,3343963.35,2695669.6,Procesando,Tarjeta de débito,45%,UV654987123WX,10:05,Envío económico
C2519,Asia,Uzbekistan,MINI HERE,Online,Baja,6/1/2021,251974713,6/21/2021,3772,651.21,524.96,2456364.12,1980149.12,Pendiente,Efectivo,50%,YZ321456789AB,19:48,Envío express
C8199,Asia,Sri Lanka,MINI HERE,Offline,Media,7/28/2020,819947707,9/5/2020,9602,81.73,56.67,784771.46,544145.34,Devuelto,Tarjeta de crédito,5%,CD123987654EF,6:33,Envío a domicilio
C4645,África,The Gambia,MINI HERE,Online,Crítica,6/8/2021,464588487,7/25/2021,912,437.2,263.33,398726.4,240156.96,Enviado,PayPal,10%,GH789321456IJ,15:15,Envío aéreo
C1390,Asia,Myanmar,MINI HERE,Offline,Media,7/26/2021,139070880,8/4/2021,3019,152.58,97.44,460639.02,294171.36,Procesando,Transferencia bancaria,15%,KL654789123MN,0:01,Envío estándar
C4168,Asia,Bhutan,MINI HERE,Online,Crítica,10/15/2021,416881215,10/21/2021,3270,109.28,35.84,357345.6,117196.8,Cancelado,Tarjeta de débito,20%,OP456123987QR,13:37,Envío prioritario
C1418,África,Mali,MINI HERE,Online,Crítica,11/23/2021,141818320,11/29/2021,6047,154.06,90.93,931600.82,549853.71,Entregado,Efectivo,25%,ST987654321UV,8:08,Envío express
C4779,África,Burundi,MINI HERE,Online,Alta,1/31/2022,477993524,3/12/2022,7761,81.73,56.67,634306.53,439815.87,Procesando,Tarjeta de crédito,30%,WX123456987YZ,18:18,Envío urgente
C8598,África,Libya,MINI HERE,Offline,Alta,7/11/2021,859830653,8/5/2021,1852,109.28,35.84,202386.56,66375.68,Enviado,PayPal,35%,AB789123654CD,3:03,Envío rápido
C3420,África,Nigeria,MINI HERE,Offline,Crítica,8/26/2022,342066037,10/11/2022,3797,109.28,35.84,414936.16,136084.48,Entregado,Transferencia bancaria,40%,EF654321987GH,22:22,Envío internacional
C7497,Europa,Norway,MINI HERE,Online,Crítica,2/21/2021,749748504,3/16/2021,6098,668.27,502.54,4075110.46,3064488.92,Pendiente,Tarjeta de débito,45%,IJ987123456KL,11:55,Envío express
C8282,África,Kenya,MINI HERE,Offline,Media,8/30/2021,828239381,10/8/2021,3293,437.2,263.33,1439699.6,867145.69,Cancelado,Efectivo,50%,MN456789123OP,1:45,Envío a domicilio
C2932,Australia y Oceanía,Papua New Guinea,MINI HERE,Online,Alta,2/19/2022,293212497,3/9/2022,6948,154.06,90.93,1070408.88,631781.64,Devuelto,Tarjeta de crédito,5%,QR123654987ST,14:14,Envío estándar
C2806,Asia,North Korea,MINI HERE,Offline,Baja,11/17/2020,280654180,1/2/2021,663,81.73,56.67,54186.99,37572.21,Procesando,PayPal,10%,UV987321456WX,5:05,Envío seguro
C1968,Europa,Montenegro,MINI HERE,Offline,Media,11/25/2020,196863257,1/9/2021,5067,109.28,35.84,553721.76,181601.28,Enviado,Transferencia bancaria,15%,YZ654123789AB,16:16,Envío urgente
C8684,Europa,Norway,MINI HERE,Offline,Alta,10/6/2022,868451058,10/8/2022,2822,9.33,6.92,26329.26,19528.24,Pendiente,Tarjeta de débito,20%,CD321789456EF,0:00,Envío internacional
C4923,África,Lesotho,MINI HERE,Offline,Baja,4/7/2020,492341411,5/24/2020,3619,109.28,35.84,395484.32,129704.96,Procesando,Efectivo,25%,GH456987123IJ,17:17,Envío express
C4857,Asia,Indonesia,MINI HERE,Online,Alta,12/2/2021,485770642,12/15/2021,9183,421.89,364.69,3874215.87,3348948.27,Devuelto,Tarjeta de crédito,30%,KL123456789MN,6:06,Envío rápido
C5362,África,Iraq,MINI HERE,Online,Alta,11/28/2020,536287581,12/28/2020,8268,47.45,31.79,392316.6,262839.72,Enviado,PayPal,35%,OP987654321QR,19:19,Envío nacional
C8517,Asia,Singapore,MINI HERE,Online,Crítica,4/3/2022,851753556,5/12/2022,1660,205.7,117.11,341462,194402.6,Entregado,Transferencia bancaria,40%,ST456123789UV,9:09,Envío aéreo
C8103,Asia,South Korea,MINI HERE,Online,Media,5/15/2021,810342395,5/31/2021,7177,154.06,90.93,1105688.62,652604.61,Cancelado,Tarjeta de débito,45%,WX987123654YZ,20:20,Envío prioritario
C3105,África,Lebanon,MINI HERE,Online,Baja,8/26/2022,310540425,9/1/2022,4668,668.27,502.54,3119484.36,2345856.72,Devuelto,Efectivo,50%,AB654789321CD,10:10,Envío terrestre
C2211,Asia,Myanmar,MINI HERE,Online,Alta,11/23/2020,221146476,12/31/2020,1011,9.33,6.92,9432.63,6996.12,Pendiente,Tarjeta de crédito,5%,EF123987654GH,21:21,Envío express
C1312,Asia,Vietnam,MINI HERE,Online,Alta,9/23/2022,131271874,9/27/2022,5120,109.28,35.84,559513.6,183500.8,Procesando,PayPal,10%,IJ789321456KL,12:12,Envío internacional
C6003,África,Jordan,MINI HERE,Online,Baja,4/25/2022,600340449,6/2/2022,2935,9.33,6.92,27383.55,20310.2,Enviado,Transferencia bancaria,15%,MN654123789OP,23:23,Envío a domicilio
C9080,Australia y Oceanía,Palau,MINI HERE,Offline,Baja,10/20/2022,908088529,11/22/2022,2430,651.21,524.96,1582440.3,1275652.8,Entregado,Tarjeta de débito,20%,QR987456321ST,13:13,Envío urgente
C4045,Centroamérica y Caribe,Antigua and Barbuda ,MINI HERE,Offline,Crítica,8/4/2020,404564940,8/28/2020,8611,205.7,117.11,1771282.7,1008434.21,Cancelado,Efectivo,25%,UV123654987WX,7:07,Envío estándar
C7601,Australia y Oceanía,Papua New Guinea,MINI HERE,Offline,Baja,1/21/2021,760131013,1/28/2021,8513,81.73,56.67,695767.49,482431.71,Enviado,Tarjeta de crédito,30%,YZ789456123AB,18:18,Envío express
C1154,Centroamérica y Caribe,El Salvador,MINI HERE,Offline,Media,11/2/2022,115460574,11/19/2022,6205,109.28,35.84,678082.4,222387.2,Procesando,PayPal,35%,CD987123456EF,8:08,Envío seguro
C7315,África,Republic of the Congo,MINI HERE,Offline,Baja,2/8/2022,731539952,2/9/2022,7783,47.45,31.79,369303.35,247421.57,Devuelto,Transferencia bancaria,40%,GH654321789IJ,19:19,Envío prioritario
C4396,Australia y Oceanía,Vanuatu,MINI HERE,Online,Crítica,8/3/2022,439667975,9/21/2022,6379,421.89,364.69,2691236.31,2326357.51,Pendiente,Tarjeta de débito,45%,KL123789456MN,9:09,Envío a domicilio
C2914,Asia,Bangladesh,MINI HERE,Offline,Baja,9/11/2022,291455972,9/16/2022,7154,109.28,35.84,781789.12,256399.36,Entregado,Efectivo,50%,OP654987321QR,20:20,Envío rápido
C5088,África,Burundi,MINI HERE,Offline,Baja,9/1/2022,508827769,9/13/2022,2299,205.7,117.11,472904.3,269235.89,Cancelado,Tarjeta de crédito,5%,ST123456987UV,10:10,Envío terrestre
C9340,África,South Sudan,MINI HERE,Online,Media,4/17/2020,934019696,5/7/2020,6039,154.06,90.93,930368.34,549126.27,Procesando,PayPal,10%,WX789123654YZ,21:21,Envío aéreo
C5795,África,Mozambique,MINI HERE,Online,Baja,11/25/2020,579580581,12/12/2020,9628,47.45,31.79,456848.6,306074.12,Enviado,Transferencia bancaria,15%,AB321456789CD,11:11,Envío internacional
C7783,Centroamérica y Caribe,Saint Kitts and Nevis ,MINI HERE,Online,Crítica,8/27/2021,778371751,9/3/2021,6353,421.89,364.69,2680267.17,2316875.57,Pendiente,Tarjeta de débito,20%,EF456123789GH,22:22,Envío express
C2335,África,Rwanda,MINI HERE,Offline,Media,7/16/2021,233567035,8/17/2021,6531,154.06,90.93,1006165.86,593863.83,Devuelto,Efectivo,25%,IJ123654987KL,12:12,Envío urgente
C8686,África,Rwanda,MINI HERE,Online,Alta,10/24/2022,868652760,12/8/2022,2510,47.45,31.79,119099.5,79792.9,Entregado,Tarjeta de crédito,30%,MN987456321OP,23:23,Envío seguro
C1774,Europa,Moldova ,MINI HERE,Offline,Baja,12/23/2020,177427756,1/31/2021,3671,154.06,90.93,565554.26,333804.03,Procesando,PayPal,35%,QR654123789ST,13:13,Envío a domicilio
C6740,Europa,Austria,MINI HERE,Offline,Baja,7/10/2020,674003350,7/30/2020,1424,205.7,117.11,292916.8,166764.64,Enviado,Transferencia bancaria,40%,UV321789456WX,0:00,Envío estándar
C4428,Europa,Spain,MINI HERE,Offline,Baja,1/16/2022,442803370,2/18/2022,4212,109.28,35.84,460287.36,150958.08,Pendiente,Tarjeta de débito,45%,YZ987654123AB,14:14,Envío nacional
C7885,Asia,China,MINI HERE,Online,Crítica,10/27/2020,788564145,12/1/2020,2509,255.28,159.42,640497.52,399984.78,Cancelado,Efectivo,50%,CD456987321EF,1:01,Envío prioritario
C3863,África,Qatar,MINI HERE,Online,Media,7/21/2022,386334502,8/11/2022,3819,437.2,263.33,1669666.8,1005657.27,Devuelto,Tarjeta de crédito,5%,GH123789654IJ,15:15,Envío aéreo
C2314,Europa,Georgia,MINI HERE,Online,Crítica,11/22/2021,231475770,11/23/2021,7679,81.73,56.67,627604.67,435168.93,Enviado,PayPal,10%,KL654321987MN,2:02,Envío urgente
C4896,Asia,Kazakhstan,MINI HERE,Online,Media,1/18/2021,489661777,2/11/2021,656,668.27,502.54,438385.12,329666.24,Procesando,Transferencia bancaria,15%,OP123456789QR,16:16,Envío express
C9468,África,Namibia,MINI HERE,Offline,Baja,8/18/2022,946878850,10/5/2022,1348,81.73,56.67,110172.04,76391.16,Pendiente,Tarjeta de débito,20%,ST987123654UV,3:03,Envío terrestre
C5594,Centroamérica y Caribe,Jamaica,MINI HERE,Offline,Baja,7/1/2022,559425818,7/23/2022,5386,421.89,364.69,2272299.54,1964220.34,Enviado,Efectivo,25%,WX456789123YZ,17:17,Envío económico
C6039,África,Syria,MINI HERE,Offline,Media,8/22/2022,603914010,9/1/2022,431,154.06,90.93,66399.86,39190.83,Devuelto,Tarjeta de crédito,30%,AB654987321CD,4:04,Envío rápido
C6272,África,Tanzania,MINI HERE,Offline,Crítica,2/24/2021,627267253,3/8/2021,1174,9.33,6.92,10953.42,8124.08,Procesando,PayPal,35%,EF321123456GH,18:18,Envío internacional
C6967,África,Angola,MINI HERE,Online,Alta,4/1/2022,696721875,5/12/2022,4340,255.28,159.42,1107915.2,691882.8,Entregado,Transferencia bancaria,40%,IJ789456123KL,5:05,Envío express
C9498,Asia,China,MINI HERE,Offline,Baja,7/18/2020,949826705,9/6/2020,3684,81.73,56.67,301093.32,208772.28,Cancelado,Tarjeta de débito,45%,MN123654321OP,19:19,Envío a domicilio
C2444,Europa,Hungary,MINI HERE,Offline,Baja,6/30/2022,244443070,7/3/2022,4991,81.73,56.67,407914.43,282839.97,Pendiente,Efectivo,50%,QR654987789ST,6:06,Envío urgente
C2087,Europa,Norway,MINI HERE,Offline,Alta,1/29/2022,208744800,2/3/2022,1080,668.27,502.54,721731.6,542743.2,Devuelto,Tarjeta de crédito,5%,UV123987654WX,20:20,Envío estándar
C2912,Australia y Oceanía,Australia,MINI HERE,Offline,Crítica,4/9/2022,291218221,5/2/2022,6798,421.89,364.69,2868008.22,2479162.62,Enviado,PayPal,10%,YZ456123789AB,7:07,Envío nacional
C9106,África,Nigeria,MINI HERE,Offline,Media,2/22/2022,910662162,3/5/2022,4025,668.27,502.54,2689786.75,2022723.5,Procesando,Transferencia bancaria,15%,CD987456321EF,21:21,Envío aéreo
C3061,Asia,Thailand,MINI HERE,Online,Media,3/9/2021,306187951,4/17/2021,6674,651.21,524.96,4346175.54,3503583.04,Entregado,Tarjeta de débito,20%,GH654123789IJ,8:08,Envío seguro
C3872,Asia,Taiwan,MINI HERE,Offline,Alta,9/16/2020,387219417,9/27/2020,5685,9.33,6.92,53041.05,39340.2,Cancelado,Efectivo,25%,KL321987456MN,22:22,Envío prioritario
C8834,Asia,India,MINI HERE,Online,Baja,6/5/2022,883492887,6/5/2022,4033,154.06,90.93,621323.98,366720.69,Pendiente,Tarjeta de crédito,30%,OP123456789QR,9:09,Envío urgente
C6950,Europa,Romania,MINI HERE,Offline,Baja,4/24/2021,695057189,5/8/2021,1723,47.45,31.79,81756.35,54774.17,Enviado,PayPal,35%,ST654987321UV,23:23,Envío terrestre
C1422,Australia y Oceanía,East Timor,MINI HERE,Online,Baja,4/23/2021,142273652,5/16/2021,790,437.2,263.33,345388,208030.7,Procesando,Transferencia bancaria,40%,WX123789654YZ,10:10,Envío express
C5158,Europa,Bosnia and Herzegovina,MINI HERE,Online,Baja,6/28/2022,515816104,8/6/2022,303,205.7,117.11,62327.1,35484.33,Entregado,Tarjeta de débito,45%,AB456123987CD,0:00,Envío a domicilio
C9266,Europa,Ireland,MINI HERE,Offline,Baja,6/14/2022,926670873,7/17/2022,1359,81.73,56.67,111071.07,77014.53,Cancelado,Efectivo,50%,EF654789321GH,11:11,Envío estándar
C5561,Europa,Croatia,MINI HERE,Online,Baja,8/19/2020,556136786,9/5/2020,2089,668.27,502.54,1396016.03,1049806.06,Devuelto,Tarjeta de crédito,5%,IJ321456987KL,1:01,Envío internacional
C9058,África,Iraq,MINI HERE,Online,Baja,8/6/2022,905825173,8/22/2022,2653,255.28,159.42,677257.84,422941.26,Enviado,PayPal,10%,MN789123456OP,12:12,Envío urgente
C8476,Europa,Malta,MINI HERE,Online,Crítica,6/7/2021,847659862,7/22/2021,245,651.21,524.96,159546.45,128615.2,Procesando,Transferencia bancaria,15%,QR654321789ST,2:02,Envío rápido
C6738,Europa,Ireland,MINI HERE,Offline,Baja,1/26/2022,673877179,2/21/2022,4087,421.89,364.69,1724264.43,1490488.03,Pendiente,Tarjeta de débito,20%,UV123987654WX,13:13,Envío express
C7470,África,Madagascar,MINI HERE,Online,Baja,9/14/2022,747025954,10/12/2022,435,255.28,159.42,111046.8,69347.7,Enviado,Efectivo,25%,YZ456789123AB,3:03,Envío aéreo
C1499,Europa,Austria,MINI HERE,Online,Media,12/1/2021,149967515,12/27/2021,7575,437.2,263.33,3311790,1994724.75,Devuelto,Tarjeta de crédito,30%,CD789456321EF,14:14,Envío seguro
C7358,África,Sierra Leone,MINI HERE,Offline,Crítica,2/17/2020,735875689,3/25/2020,824,81.73,56.67,67345.52,46696.08,Cancelado,PayPal,35%,GH123654987IJ,4:04,Envío a domicilio
C3782,Europa,Netherlands,MINI HERE,Online,Crítica,1/9/2021,378236806,2/18/2021,7531,651.21,524.96,4904262.51,3953473.76,Procesando,Transferencia bancaria,40%,KL654987123MN,15:15,Envío prioritario
C6208,Europa,Croatia,MINI HERE,Offline,Alta,7/15/2021,620849692,7/18/2021,2075,437.2,263.33,907190,546409.75,Entregado,Tarjeta de débito,45%,OP321456789QR,5:05,Envío terrestre
C8278,Centroamérica y Caribe,Trinidad and Tobago,MINI HERE,Offline,Baja,11/11/2021,827825677,11/19/2021,869,152.58,97.44,132592.02,84675.36,Pendiente,Efectivo,50%,ST987123654UV,16:16,Envío económico
C4335,Asia,South Korea,MINI HERE,Offline,Crítica,3/5/2021,433588588,3/28/2021,7353,668.27,502.54,4913789.31,3695176.62,Enviado,Tarjeta de crédito,5%,WX456789123YZ,6:06,Envío rápido
C2928,Australia y Oceanía,Samoa ,MINI HERE,Offline,Alta,11/24/2021,292874753,12/25/2021,7003,421.89,364.69,2954495.67,2553924.07,Cancelado,PayPal,10%,AB654321987CD,17:17,Envío express
C4307,Europa,Albania,MINI HERE,Offline,Baja,7/31/2022,430733001,8/2/2022,2322,651.21,524.96,1512109.62,1218957.12,Devuelto,Transferencia bancaria,15%,EF123789456GH,7:07,Envío a domicilio
C4925,África,Cape Verde,MINI HERE,Online,Media,3/3/2022,492524659,3/25/2022,7846,9.33,6.92,73203.18,54294.32,Procesando,Tarjeta de débito,20%,IJ987654321KL,18:18,Envío urgente
C1939,Europa,Italy,MINI HERE,Online,Baja,6/9/2021,193923556,6/20/2021,5145,47.45,31.79,244130.25,163559.55,Pendiente,Efectivo,25%,MN123456789OP,8:08,Envío nacional
C6709,Europa,Hungary,MINI HERE,Offline,Baja,7/26/2021,670916020,8/2/2021,7815,47.45,31.79,370821.75,248438.85,Enviado,Tarjeta de crédito,30%,QR987123456ST,19:19,Envío prioritario
C4298,Asia,Maldives,MINI HERE,Offline,Crítica,9/17/2022,429800879,10/19/2022,6486,255.28,159.42,1655746.08,1033998.12,Entregado,PayPal,35%,UV654321789WX,9:09,Envío internacional
C2971,África,Mali,MINI HERE,Offline,Alta,7/25/2022,297189462,8/19/2022,3821,668.27,502.54,2553459.67,1920205.34,Cancelado,Transferencia bancaria,40%,YZ123654987AB,20:20,Envío estándar
C2700,África,Yemen,MINI HERE,Online,Media,8/26/2020,270005595,9/4/2020,9511,81.73,56.67,777334.03,538988.37,Procesando,Tarjeta de débito,45%,CD789456123EF,10:10,Envío express
C8654,Asia,North Korea,MINI HERE,Offline,Baja,8/15/2022,865485608,9/10/2022,5279,152.58,97.44,805469.82,514385.76,Devuelto,Efectivo,50%,ABCDEFGHIJ,21:21,Envío terrestre
C8711,Asia,Uzbekistan,MINI HERE,Offline,Alta,8/28/2021,871178328,8/28/2021,9882,205.7,117.11,2032727.4,1157281.02,Procesando,Tarjeta de crédito,5%,KLMNOPQRST,4:53,Envío aéreo
C4949,Europa,Latvia,MINI HERE,Online,Baja,10/12/2022,494945085,11/6/2022,4104,154.06,90.93,632262.24,373176.72,Entregado,PayPal,10%,UVWXYZ1234,14:26,Envío económico
C9149,Asia,Singapore,MINI HERE,Offline,Crítica,5/29/2021,914959704,6/24/2021,5764,152.58,97.44,879471.12,561644.16,Devuelto,Transferencia bancaria,15%,567890ABCDE,8:07,Envío urgente
C2297,Europa,Lithuania,MINI HERE,Online,Baja,12/7/2021,229708516,1/23/2022,4709,668.27,502.54,3146883.43,2366460.86,Procesando,Tarjeta de débito,20%,FGHJKLMNO,23:39,Envío a domicilio
C2079,África,Senegal,MINI HERE,Offline,Alta,1/4/2022,207990348,1/20/2022,7821,47.45,31.79,371106.45,248629.59,Enviado,Efectivo,25%,PQRSTUVWXYZ,11:18,Envío express
C4389,África,South Sudan,MINI HERE,Offline,Crítica,7/20/2022,438916528,8/18/2022,4009,154.06,90.93,617626.54,364538.37,Enviado,Tarjeta de crédito,30%,1234567890A,17:45,Envío prioritario
C5819,Europa,Bulgaria,MINI HERE,Online,Alta,7/30/2020,581910884,8/16/2020,9217,255.28,159.42,2352915.76,1469374.14,Entregado,PayPal,35%,BCDEFGHIJKL,6:32,Envío internacional
C8167,África,Seychelles ,MINI HERE,Offline,Alta,2/4/2022,816709744,3/1/2022,1417,421.89,364.69,597818.13,516765.73,Pendiente,Transferencia bancaria,40%,MNOPQRSTUVW,20:59,Envío rápido
C4933,Centroamérica y Caribe,Saint Kitts and Nevis ,MINI HERE,Online,Alta,8/24/2020,493361937,9/29/2020,5616,668.27,502.54,3753004.32,2822264.64,Enviado,Tarjeta de débito,45%,XYZ1234567,9:14,Envío seguro
C3822,Centroamérica y Caribe,Saint Vincent and the Grenadines,MINI HERE,Offline,Alta,8/10/2021,382228791,9/26/2021,8848,255.28,159.42,2258717.44,1410548.16,Cancelado,Efectivo,50%,ABCDEFGHIJ,12:36,Envío express
C4239,Europa,Andorra,MINI HERE,Offline,Baja,10/2/2020,423984134,11/14/2020,5182,437.2,263.33,2265570.4,1364576.06,Entregado,Tarjeta de crédito,5%,KLMNOPQRST,5:48,Envío a domicilio
C1796,África,Mali,MINI HERE,Offline,Crítica,11/3/2022,179614293,11/23/2022,716,421.89,364.69,302073.24,261118.04,Enviado,PayPal,10%,UVWXYZ1234,21:10,Envío estándar
C1804,África,Togo,MINI HERE,Offline,Media,2/26/2020,180418097,3/15/2020,8579,81.73,56.67,701161.67,486171.93,Procesando,Transferencia bancaria,15%,567890ABCDE,15:27,Envío terrestre
C5780,Asia,Thailand,MINI HERE,Offline,Alta,7/17/2022,578006875,8/21/2022,3934,421.89,364.69,1659715.26,1434690.46,Pendiente,Tarjeta de débito,20%,FGHJKLMNO,3:04,Envío aéreo
C6943,Europa,Moldova ,MINI HERE,Online,Alta,9/1/2021,694304454,9/9/2021,8972,668.27,502.54,5995718.44,4508788.88,Entregado,Efectivo,25%,PQRSTUVWXYZ,18:51,Envío económico
C3715,Centroamérica y Caribe,Trinidad and Tobago,MINI HERE,Online,Alta,1/14/2021,371547162,2/23/2021,7917,255.28,159.42,2021051.76,1262128.14,Devuelto,Tarjeta de crédito,30%,1234567890A,10:25,Envío urgente
C4222,Asia,Japan,MINI HERE,Online,Media,4/6/2020,422283828,4/26/2020,2024,47.45,31.79,96038.8,64342.96,Cancelado,PayPal,35%,BCDEFGHIJKL,7:00,Envío rápido
C3793,África,Central African Republic,MINI HERE,Offline,Crítica,3/23/2022,379375779,3/23/2022,4578,205.7,117.11,941694.6,536129.58,Pendiente,Transferencia bancaria,40%,MNOPQRSTUVW,19:34,Envío a domicilio
C7459,África,Azerbaijan,MINI HERE,Online,Baja,3/11/2020,745996844,4/3/2020,5899,81.73,56.67,482125.27,334296.33,Procesando,Tarjeta de débito,45%,XYZ1234567,13:59,Envío internacional
C7456,África,Mauritania,MINI HERE,Offline,Baja,2/20/2022,745633351,4/3/2022,8333,9.33,6.92,77746.89,57664.36,Pendiente,Efectivo,50%,ABCDEFGHIJ,2:17,Envío prioritario
C5720,Europa,Portugal,MINI HERE,Offline,Media,9/16/2020,572084128,11/5/2020,1261,152.58,97.44,192403.38,122871.84,Devuelto,Tarjeta de crédito,5%,KLMNOPQRST,22:43,Envío express
C9394,África,Liberia,MINI HERE,Online,Baja,5/22/2020,939460504,5/24/2020,6095,47.45,31.79,289207.75,193760.05,Enviado,PayPal,10%,UVWXYZ1234,16:20,Envío seguro
C8321,África,South Sudan,MINI HERE,Online,Alta,10/12/2021,832186305,11/26/2021,1276,9.33,6.92,11905.08,8829.92,Procesando,Transferencia bancaria,15%,567890ABCDE,1:38,Envío nacional
C6549,África,Cameroon,MINI HERE,Online,Baja,2/28/2020,654997861,4/2/2020,7277,9.33,6.92,67894.41,50356.84,Cancelado,Tarjeta de débito,20%,FGHJKLMNO,8:05,Envío estándar
C8829,Centroamérica y Caribe,Cuba,MINI HERE,Online,Baja,3/23/2021,882943999,4/7/2021,1605,421.89,364.69,677133.45,585327.45,Entregado,Efectivo,25%,PQRSTUVWXYZ,14:29,Envío urgente
C7113,África,Malawi,MINI HERE,Online,Baja,6/27/2022,711386048,8/15/2022,3795,9.33,6.92,35407.35,26261.4,Procesando,Tarjeta de crédito,30%,1234567890A,4:55,Envío aéreo
C3059,Australia y Oceanía,Tuvalu,MINI HERE,Offline,Baja,6/9/2020,305997836,7/10/2020,415,47.45,31.79,19691.75,13192.85,Enviado,PayPal,35%,BCDEFGHIJKL,23:10,Envío rápido
C3527,África,Burundi,MINI HERE,Offline,Alta,7/19/2020,352765691,8/11/2020,62,421.89,364.69,26157.18,22610.78,Entregado,Transferencia bancaria,40%,MNOPQRSTUVW,11:42,Envío express
C7079,África,Liberia,MINI HERE,Online,Crítica,7/15/2021,707988440,8/8/2021,8367,154.06,90.93,1289020.02,760811.31,Pendiente,Tarjeta de débito,45%,XYZ1234567,17:03,Envío a domicilio
C8482,Asia,Turkmenistan,MINI HERE,Offline,Media,7/13/2022,848277413,8/29/2022,2992,154.06,90.93,460947.52,272062.56,Cancelado,Efectivo,50%,ABCDEFGHIJ,6:21,Envío terrestre
